year,us_pct,cn_pct,measure,source,source_class
2005,21.6,9.4,Manufacturing value added as % of world (current US$),World Bank WDI NV.IND.MANF.CD (US/China divided by World),international-body
2010,16.7,18.0,Manufacturing value added as % of world (current US$),World Bank WDI NV.IND.MANF.CD (US/China divided by World),international-body
2015,17.1,25.8,Manufacturing value added as % of world (current US$),World Bank WDI NV.IND.MANF.CD (US/China divided by World),international-body
2020,16.3,27.9,Manufacturing value added as % of world (current US$),World Bank WDI NV.IND.MANF.CD (US/China divided by World),international-body
