year,us_millions,cn_millions,measure,source,source_class
2011,0.653,1.387,S&E first university (bachelor's) degrees per year,NSF SEIND 2024 / NSB-2023-32 fig HED-29 (OECD basis),international-body
2014,0.734,1.654,S&E first university (bachelor's) degrees per year,NSF SEIND 2024 / NSB-2023-32 fig HED-29 (OECD basis),international-body
2016,0.768,1.773,S&E first university (bachelor's) degrees per year,NSF SEIND 2024 / NSB-2023-32 fig HED-29 (OECD basis),international-body
2018,0.811,1.822,S&E first university (bachelor's) degrees per year,NSF SEIND 2024 / NSB-2023-32 fig HED-29 (OECD basis),international-body
2020,0.899,1.976,S&E first university (bachelor's) degrees per year,NSF SEIND 2024 / NSB-2023-32 fig HED-29 (OECD basis),international-body
