year,us_pct,cn_pct,measure,source,source_class
1950,27.4,5.2,GDP as % of world (PPP),Maddison Project Database 2023 (Bolt & van Zanden) via Our World in Data,independent-academic
1960,24.5,5.3,GDP as % of world (PPP),Maddison Project Database 2023 (Bolt & van Zanden) via Our World in Data,independent-academic
1970,22.4,5.2,GDP as % of world (PPP),Maddison Project Database 2023 (Bolt & van Zanden) via Our World in Data,independent-academic
1980,21.1,5.9,GDP as % of world (PPP),Maddison Project Database 2023 (Bolt & van Zanden) via Our World in Data,independent-academic
1990,21.5,7.9,GDP as % of world (PPP),Maddison Project Database 2023 (Bolt & van Zanden) via Our World in Data,independent-academic
2000,21.6,9.9,GDP as % of world (PPP),Maddison Project Database 2023 (Bolt & van Zanden) via Our World in Data,independent-academic
2010,17.0,14.3,GDP as % of world (PPP),Maddison Project Database 2023 (Bolt & van Zanden) via Our World in Data,independent-academic
2020,15.2,20.4,GDP as % of world (PPP),Maddison Project Database 2023 (Bolt & van Zanden) via Our World in Data,independent-academic
2022,15.0,20.7,GDP as % of world (PPP),Maddison Project Database 2023 (Bolt & van Zanden) via Our World in Data,independent-academic
