year,us_pct,cn_pct,measure,source,source_class
1970,14.3,0.8,Merchandise exports as % of world (current US$),World Bank WDI TX.VAL.MRCH.CD.WT (WTO-sourced; US/China divided by World),international-body
1980,11.4,0.9,Merchandise exports as % of world (current US$),World Bank WDI TX.VAL.MRCH.CD.WT (WTO-sourced; US/China divided by World),international-body
1990,11.4,1.8,Merchandise exports as % of world (current US$),World Bank WDI TX.VAL.MRCH.CD.WT (WTO-sourced; US/China divided by World),international-body
2000,12.1,3.8,Merchandise exports as % of world (current US$),World Bank WDI TX.VAL.MRCH.CD.WT (WTO-sourced; US/China divided by World),international-body
2010,8.3,10.3,Merchandise exports as % of world (current US$),World Bank WDI TX.VAL.MRCH.CD.WT (WTO-sourced; US/China divided by World),international-body
2020,8.0,14.6,Merchandise exports as % of world (current US$),World Bank WDI TX.VAL.MRCH.CD.WT (WTO-sourced; US/China divided by World),international-body
2023,8.4,14.1,Merchandise exports as % of world (current US$),World Bank WDI TX.VAL.MRCH.CD.WT (WTO-sourced; US/China divided by World),international-body
2024,8.4,14.5,Merchandise exports as % of world (current US$),World Bank WDI TX.VAL.MRCH.CD.WT (WTO-sourced; US/China divided by World),international-body
