year,us_proceeds_usd_bn,china_onshore_usd_bn,china_us_listed_usd_bn,source
2018,46.9,57.9,8.5,US Renaissance Capital (ex-SPAC); China A-share KPMG/PwC + HK KPMG/HKEX (converted); ADR Refinitiv/Dealogic (approx)
2019,46.3,76.6,3.5,US Renaissance Capital (ex-SPAC); China A-share KPMG + HK KPMG (converted); ADR Refinitiv (approx)
2020,78.2,118.1,11.7,US Renaissance Capital (ex-SPAC); China A-share KPMG + HK (converted); ADR CNBC/Refinitiv
2021,142.4,130.6,12.8,US Renaissance Capital (ex-SPAC); China A-share EY/KPMG + HK KPMG USD; ADR Refinitiv/SCMP
2022,7.7,104.7,0.2,US Renaissance Capital (ex-SPAC); China A-share Bloomberg USD + HK KPMG USD; ADR negligible (~6 tiny deals)
2023,19.4,55.5,0.5,US Renaissance Capital (ex-SPAC); China A-share KPMG + HK HKEX (converted); ADR 11 small deals
2024,29.6,19.3,0.6,US Renaissance Capital (ex-SPAC); China A-share EY + HK EY/KPMG (converted); ADR 20 small deals
