year,us_vc_usd_bn,cn_vc_usd_bn,source
2014,74.5,,PitchBook-NVCA Venture Monitor (US)
2015,87.0,,PitchBook-NVCA Venture Monitor (US)
2016,83.6,,PitchBook-NVCA Venture Monitor (US)
2017,90.9,,PitchBook-NVCA Venture Monitor (US)
2018,146.7,119.4,US PitchBook-NVCA; China KPMG Venture Pulse (PitchBook data)
2019,153.9,81.3,US PitchBook-NVCA; China KPMG Venture Pulse (PitchBook data)
2020,174.7,93.8,US PitchBook-NVCA; China KPMG Venture Pulse (PitchBook data)
2021,354.6,146.0,US PitchBook-NVCA; China KPMG Venture Pulse (PitchBook data)
2022,238.2,88.6,US PitchBook-NVCA; China KPMG Venture Pulse (PitchBook data)
2023,162.2,63.7,US PitchBook-NVCA; China KPMG Venture Pulse (PitchBook data)
2024,209.0,38.0,US PitchBook-NVCA; China KPMG Venture Pulse (PitchBook data)
