year,us_milex_const2023_usd_bn,cn_milex_const2023_usd_bn,measure,source,source_class
1990,758.2,22.0,"Military expenditure, constant 2023 US$ billions",SIPRI Military Expenditure Database (April 2025 release; 'Constant (2023) US$' sheet),international-body
1995,591.6,26.1,"Military expenditure, constant 2023 US$ billions",SIPRI Military Expenditure Database (April 2025 release; 'Constant (2023) US$' sheet),international-body
2000,566.4,42.5,"Military expenditure, constant 2023 US$ billions",SIPRI Military Expenditure Database (April 2025 release; 'Constant (2023) US$' sheet),international-body
2005,831.9,75.8,"Military expenditure, constant 2023 US$ billions",SIPRI Military Expenditure Database (April 2025 release; 'Constant (2023) US$' sheet),international-body
2010,1031.3,133.6,"Military expenditure, constant 2023 US$ billions",SIPRI Military Expenditure Database (April 2025 release; 'Constant (2023) US$' sheet),international-body
2015,814.8,199.2,"Military expenditure, constant 2023 US$ billions",SIPRI Military Expenditure Database (April 2025 release; 'Constant (2023) US$' sheet),international-body
2020,916.4,259.9,"Military expenditure, constant 2023 US$ billions",SIPRI Military Expenditure Database (April 2025 release; 'Constant (2023) US$' sheet),international-body
2024,968.4,317.6,"Military expenditure, constant 2023 US$ billions",SIPRI Military Expenditure Database (April 2025 release; 'Constant (2023) US$' sheet),international-body
