year,us_gerd_ppp_bn,cn_gerd_ppp_bn,measure,source,source_class
2000,269,33,GERD (gross domestic expenditure on R&D), PPP current US$ billions,OECD Main Science and Technology Indicators (MSTI) / US NSF NCSES Science & Engineering Indicators,international-body
2005,328,86,GERD (gross domestic expenditure on R&D), PPP current US$ billions,OECD MSTI / US NSF NCSES,international-body
2010,410,213,GERD (gross domestic expenditure on R&D), PPP current US$ billions,OECD MSTI / US NSF NCSES,international-body
2015,495,409,GERD (gross domestic expenditure on R&D), PPP current US$ billions,OECD MSTI / US NSF NCSES,international-body
2020,720,563,GERD (gross domestic expenditure on R&D), PPP current US$ billions,OECD MSTI / US NSF NCSES,international-body
2023,823,781,GERD (gross domestic expenditure on R&D), PPP current US$ billions,OECD MSTI / US NSF NCSES,international-body
